1,31-10-2020 11:58:24.073,submitB,'b2'
1,31-10-2020 11:58:43.490,cancelB,'b2'
1,31-10-2020 11:59:35.402,submitB,'b3'
1,31-10-2020 12:00:23.611,submitA,'a2'
1,31-10-2020 12:00:40.933,submitB,'b1'
1,31-10-2020 12:01:23.007,cancelA,'a2'
1,31-10-2020 12:01:59.708,submitA,'a1'
1,31-10-2020 12:03:00.298,cancelA,'a1'
1,31-10-2020 12:03:52.574,trade,'a1','b2'
1,31-10-2020 12:04:53.554,cancelB,'b1'
1,31-10-2020 12:05:40.733,cancelB,'b3'
1,31-10-2020 12:05:50.566,submitA,'a3'
1,31-10-2020 12:06:30.911,cancelA,'a3'
1,31-10-2020 12:06:58.088,trade,'a3','b1'
