1,27-09-2020 14:13:34.966,submitA,b3
1,27-09-2020 14:14:13.380,submitA,b1
1,27-09-2020 14:14:16.236,submitB,s4
1,27-09-2020 14:14:55.612,cancelB,s4
1,27-09-2020 14:15:20.466,cancelA,b3
1,27-09-2020 14:16:13.024,cancelA,b1
1,27-09-2020 14:16:39.154,submitA,b2
1,27-09-2020 14:17:35.896,cancelA,b2
1,27-09-2020 14:18:35.390,submitA,b5
1,27-09-2020 14:19:02.885,cancelA,b5
1,27-09-2020 14:19:16.204,submitB,s5
1,27-09-2020 14:20:13.066,cancelB,s5
1,27-09-2020 14:21:09.344,submitA,b4
1,27-09-2020 14:21:25.160,submitB,s2
1,27-09-2020 14:22:04.949,trade,b4,s2
1,27-09-2020 14:22:53.293,submitB,s3
1,27-09-2020 14:23:39.368,submitB,s1
1,27-09-2020 14:23:44.408,cancelB,s3
1,27-09-2020 14:24:36.465,cancelB,s1
1,27-09-2020 14:24:41.283,trade,s1,b3
2,27-09-2020 14:24:45.701,submitA,b1
2,27-09-2020 14:25:29.089,submitB,s3
2,27-09-2020 14:26:26.834,submitB,s1
2,27-09-2020 14:27:19.585,submitB,s2
2,27-09-2020 14:28:17.344,cancelA,b1
2,27-09-2020 14:28:29.338,submitB,s5
2,27-09-2020 14:28:50.825,cancelB,s3
2,27-09-2020 14:29:26.426,submitA,b4
2,27-09-2020 14:30:06.073,cancelA,b4
2,27-09-2020 14:30:11.336,cancelB,s1
2,27-09-2020 14:31:04.504,submitB,s4
2,27-09-2020 14:31:14.072,trade,s1,b1
2,27-09-2020 14:32:03.175,cancelB,s5
2,27-09-2020 14:32:50.849,cancelB,s2
2,27-09-2020 14:32:56.715,cancelB,s4
2,27-09-2020 14:33:31.972,submitA,b5
2,27-09-2020 14:34:29.290,cancelA,b5
2,27-09-2020 14:34:46.616,trade,s2,b5
2,27-09-2020 14:35:00.343,submitA,b2
2,27-09-2020 14:35:15.210,cancelA,b2
2,27-09-2020 14:35:29.798,submitA,b3
2,27-09-2020 14:35:38.540,cancelA,b3
3,27-09-2020 14:35:46.663,submitB,s4
3,27-09-2020 14:36:22.249,submitB,s1
3,27-09-2020 14:36:28.498,submitB,s5
3,27-09-2020 14:36:47.336,cancelB,s5
3,27-09-2020 14:37:37.947,submitB,s2
3,27-09-2020 14:38:05.249,cancelB,s4
3,27-09-2020 14:38:14.609,cancelB,s2
3,27-09-2020 14:39:08.667,cancelB,s1
3,27-09-2020 14:39:32.231,submitA,b3
